Id_vente;Id_bien;Date mutation;Valeur fonciere;Id_codedep_codecommune
649;649;26/03/2020;251750;6088
650;650;31/03/2020;92500;6088
651;651;20/03/2020;723000;6088
652;652;12/03/2020;78850;6088
653;653;23/03/2020;72500;6088
654;654;02/04/2020;244370;6088
655;655;31/03/2020;798000;6088
656;656;09/04/2020;308000;6088
657;657;07/04/2020;152500;6088
658;658;20/04/2020;383450;6088
659;659;23/04/2020;525000;6088
660;660;15/04/2020;455240;6088
661;661;21/04/2020;123900;6088
662;662;26/03/2020;133000;6149
663;663;11/02/2020;33609;6088
664;664;11/02/2020;67991;6088
665;665;16/04/2020;319000;6088
666;666;24/04/2020;162300;6088
667;667;27/04/2020;610000;6088
668;668;06/05/2020;120560;6088
669;669;30/04/2020;695000;6088
670;670;05/05/2020;378000;6088
671;671;05/05/2020;292500;6088
672;672;30/04/2020;85100;6088
673;673;27/04/2020;165000;6060
674;674;15/05/2020;204700;6088
675;675;18/05/2020;337000;6088
676;676;15/05/2020;121700;6088
677;677;14/05/2020;266000;6088
678;678;30/04/2020;324250;6088
679;679;06/05/2020;190450;6088
680;680;11/05/2020;455000;6088
681;681;19/05/2020;178525;6088
682;682;19/05/2020;201400;6088
683;683;04/05/2020;208500;6088
684;684;30/03/2020;63000;6088
685;685;19/05/2020;88550;6088
686;686;19/05/2020;228000;6088
687;687;11/05/2020;155550;6088
688;688;28/04/2020;146430;6088
689;689;20/05/2020;196100;6088
690;690;14/05/2020;387000;6088
691;691;15/05/2020;185000;6149
692;692;25/05/2020;261250;6088
693;693;14/05/2020;514000;6088
694;694;29/05/2020;148750;6088
695;695;26/05/2020;74000;6088
696;696;14/05/2020;198200;6088
697;697;15/05/2020;935000;6088
698;698;28/05/2020;81300;6088
699;699;18/05/2020;156250;6088
700;700;14/05/2020;74400;6088
701;701;04/06/2020;780000;6088
702;702;04/06/2020;352960;6088
703;703;19/05/2020;287000;6114
704;704;20/05/2020;159200;6088
705;705;15/05/2020;141000;6149
706;706;19/05/2020;279000;6088
707;707;25/05/2020;370545;6088
708;708;28/05/2020;422000;6088
709;709;20/05/2020;193700;6088
710;710;20/05/2020;539280;6088
711;711;20/05/2020;321175;6088
712;712;25/05/2020;809000;6088
713;713;28/05/2020;167500;6088
714;714;22/05/2020;232180;6088
715;715;25/05/2020;212700;6088
716;716;04/06/2020;272600;6088
717;717;11/06/2020;169600;6088
718;718;10/06/2020;102800;6088
719;719;09/06/2020;166500;6088
720;720;29/05/2020;810000;6088
721;721;10/06/2020;294975;6088
722;722;03/06/2020;860000;6088
723;723;09/06/2020;219990;6088
724;724;03/06/2020;215200;6088
725;725;12/06/2020;365580;6088
726;726;19/06/2020;450000;6060
727;727;05/06/2020;675000;6088
728;728;11/06/2020;189400;6088
729;729;08/06/2020;186600;6088
730;730;15/06/2020;148900;6088
731;731;05/06/2020;102700;6088
732;732;03/06/2020;180000;6149
733;733;02/06/2020;119100;6088
734;734;09/06/2020;84112;6088
735;735;10/06/2020;90500;6088
736;736;17/06/2020;346000;6088
737;737;29/05/2020;66000;6088
738;738;04/06/2020;131600;6088
739;739;15/06/2020;230300;6088
740;740;19/05/2020;82000;6088
741;741;15/06/2020;143000;6088
742;742;12/06/2020;210000;6149
743;743;08/06/2020;274000;6088
744;744;29/06/2020;179900;6088
745;745;08/06/2020;214000;6088
746;746;16/06/2020;73000;6088
747;747;26/06/2020;169000;6088
748;748;30/04/2020;254280;6088
749;749;02/06/2020;342000;6088
750;750;30/06/2020;328300;6088
751;751;10/06/2020;203300;6088
752;752;16/06/2020;167960;6088
753;753;17/06/2020;432500;6088
754;754;30/06/2020;970000;6088
755;755;19/06/2020;82500;6088
756;756;22/06/2020;263500;6088
757;757;05/06/2020;138800;6088
758;758;12/06/2020;565000;6088
759;759;17/06/2020;1582542;6088
760;760;15/06/2020;52000;6088
761;761;15/06/2020;155350;6088
762;762;26/06/2020;401470;6088
763;763;25/06/2020;166000;6088
764;764;16/06/2020;285000;6149
765;765;30/06/2020;445100;6088
766;766;26/06/2020;137700;6088
767;767;18/06/2020;147500;6088
768;768;11/06/2020;113300;6088
769;769;11/06/2020;439200;6088
770;770;17/06/2020;277000;6149
771;771;25/06/2020;85500;6088
772;772;10/01/2020;172020;6088
773;773;08/01/2020;415000;6088
774;774;08/01/2020;214700;6088
775;775;10/01/2020;421420;6088
776;776;16/01/2020;635000;6088
777;777;10/01/2020;171600;6088
778;778;13/01/2020;278800;6088
779;779;15/01/2020;183750;6088
780;780;17/01/2020;435000;6088
781;781;17/01/2020;111755;6088
782;782;04/02/2020;124500;6088
783;783;23/01/2020;121000;6088
784;784;29/01/2020;84500;6088
785;785;21/01/2020;407500;6088
786;786;11/02/2020;96300;6088
787;787;31/01/2020;341000;6088
788;788;29/01/2020;115200;6088
789;789;31/01/2020;559900;6088
790;790;07/02/2020;257500;6088
791;791;30/01/2020;50400;6088
792;792;11/02/2020;187440;6088
793;793;06/02/2020;157700;6088
794;794;26/02/2020;129450;6088
795;795;14/02/2020;584000;6088
796;796;10/02/2020;111600;6088
797;797;12/02/2020;92000;6088
798;798;10/02/2020;104000;6088
799;799;25/02/2020;186000;6088
800;800;11/02/2020;244000;6088
801;801;26/02/2020;283500;6088
802;802;24/02/2020;124720;6088
803;803;27/02/2020;192500;6088
804;804;13/02/2020;103000;6088
805;805;03/03/2020;156750;6088
806;806;10/03/2020;120200;6088
807;807;28/02/2020;36000;6088
808;808;17/02/2020;111594;6088
809;809;28/02/2020;611284;6088
810;810;03/03/2020;57000;6088
811;811;29/02/2020;88000;6088
812;812;02/03/2020;173000;6088
813;813;21/02/2020;143730;6088
814;814;09/03/2020;65000;6088
815;815;17/03/2020;308200;6088
816;816;04/03/2020;486200;6088
817;817;27/02/2020;161000;6088
818;818;11/03/2020;207000;6088
819;819;11/03/2020;70000;6088
820;820;18/03/2020;87000;6088
821;821;16/03/2020;353000;6088
822;822;12/03/2020;77020;6088
823;823;02/03/2020;112200;6088
824;824;26/02/2020;327000;6088
825;825;16/03/2020;119550;6088
826;826;11/03/2020;148500;6088
827;827;27/02/2020;485000;6088
828;828;31/03/2020;78000;6088
829;829;16/03/2020;657000;6088
830;830;06/03/2020;187000;6088
831;831;26/03/2020;141000;6088
832;832;31/03/2020;250693;6088
833;833;13/03/2020;355730;6088
834;834;16/03/2020;900000;6088
835;835;16/03/2020;122000;6088
837;837;23/03/2020;304015;6088
838;838;17/03/2020;208000;6088
839;839;21/02/2020;480000;6088
840;840;27/03/2020;170500;6088
841;841;06/04/2020;253000;6088
842;842;10/04/2020;289150;6088
